,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
62,model_1_61,conv2d_1/kernel,1.0,4.0,"(1, 2, 3, 26)",-0.4136096239089966,0.4136096239089966,0.07295683026313782,22.0,7.0,-106.0,-0.3452174813728633,0.9120000004768372,0.912,0.000500023365020752,0.000300000000000078,-0.334949791431427,1.337747573852539,-101.0,411.0,1.6726973056793213,512.0
63,model_1_62,conv2d_1/kernel,1.0,4.0,"(4, 1, 10, 27)",-0.5517801642417908,0.5517801642417908,-0.27493345737457275,-63.0,3.0,-55.0,-0.23895991364801963,0.9114000201225281,0.9116,-9.995698928833008e-05,-9.999999999998899e-05,0.5432402491569519,0.43531960248947144,124.0,100.0,0.10792064666748047,24.0
64,model_1_63,conv2d_1/kernel,1.0,4.0,"(0, 3, 2, 1)",-0.4280238449573517,0.4280238449573517,-0.17767396569252014,-53.0,6.0,-117.0,-0.3943211800000799,0.9114999771118164,0.9118,0.0,0.00010000000000010001,-0.006923466920852661,0.6430181264877319,-1.0,191.0,0.6499415636062622,192.0
65,model_1_64,conv2d_1/kernel,1.0,4.0,"(3, 1, 9, 19)",-0.47254568338394165,0.47254568338394165,-0.1671384572982788,-45.0,5.0,-13.0,-0.048370817984183,0.9121000170707703,0.9122,0.0006000399589538574,0.000500000000000056,0.5969945788383484,0.12192402780056,160.0,32.0,0.4750705361366272,128.0
66,model_1_65,conv2d_1/kernel,1.0,4.0,"(4, 0, 23, 23)",-0.41990217566490173,0.41990217566490173,0.001037381123751402,0.0,4.0,16.0,0.05290106150108998,0.9117000102996826,0.9118,0.00020003318786621094,0.00010000000000010001,0.017751753330230713,-0.08597561717033386,6.0,-26.0,0.10372737050056458,32.0
67,model_1_66,conv2d_1/kernel,1.0,4.0,"(4, 4, 10, 54)",-0.5581862330436707,0.5581862330436707,0.25641492009162903,58.0,4.0,42.0,0.18459702195145014,0.9114000201225281,0.9116,-9.995698928833008e-05,-9.999999999998899e-05,-0.07490059733390808,0.06873521208763123,-16.0,16.0,0.1436358094215393,32.0
68,model_1_67,conv2d_1/kernel,1.0,4.0,"(2, 3, 1, 63)",-0.40499523282051086,0.40499523282051086,-0.01572461426258087,-5.0,5.0,-37.0,-0.11799073712093623,0.9120000004768372,0.912,0.000500023365020752,0.000300000000000078,0.22674396634101868,0.6358084678649902,72.0,200.0,0.40906450152397156,128.0
69,model_1_68,conv2d_1/kernel,1.0,4.0,"(4, 0, 7, 1)",-0.4280238449573517,0.4280238449573517,-0.06718948483467102,-20.0,6.0,-84.0,-0.283102385641083,0.911899983882904,0.9119,0.0004000067710876465,0.000200000000000089,0.06337150186300278,0.4951973259449005,19.0,147.0,0.43182581663131714,128.0
70,model_1_69,conv2d_1/kernel,1.0,4.0,"(1, 4, 21, 36)",-0.46165215969085693,0.46165215969085693,0.0027730735018849373,1.0,6.0,65.0,0.23627866440870632,0.9114999771118164,0.9115,0.0,-0.00019999999999997797,0.10871056467294693,-0.5918062329292297,29.0,-163.0,0.7005168199539185,192.0
71,model_1_70,conv2d_1/kernel,1.0,4.0,"(3, 3, 26, 7)",-0.4408436715602875,0.4408436715602875,-0.11383578181266785,-33.0,7.0,95.0,0.32976495116714416,0.9114000201225281,0.9118,-9.995698928833008e-05,0.00010000000000010001,0.1439208984375,-1.6304820775985718,43.0,-469.0,1.7744029760360718,512.0
