;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
207;0_2023-05-23 10:05:30;quant_conv2d;1;2;8;25;0.1518;-0.7598;10.266575
208;0_2023-05-23 10:05:33;quant_conv2d;1;2;1;26;0.5695;-0.34209999999999996;4.159645
209;0_2023-05-23 10:05:37;quant_conv2d;1;2;2;26;0.3902;-0.5214;6.5718627
210;0_2023-05-23 10:05:40;quant_conv2d;1;2;3;26;0.288;-0.6235999999999999;7.9977837
211;0_2023-05-23 10:05:44;quant_conv2d;1;2;4;26;0.2352;-0.6764;8.874981
212;0_2023-05-23 10:05:48;quant_conv2d;1;2;5;26;0.1957;-0.7159;9.465976
213;0_2023-05-23 10:05:52;quant_conv2d;1;2;6;26;0.1722;-0.7394;9.890544
214;0_2023-05-23 10:05:56;quant_conv2d;1;2;7;26;0.1559;-0.7556999999999999;10.2205925
215;0_2023-05-23 10:06:00;quant_conv2d;1;2;8;26;0.1394;-0.7722;10.400164
216;0_2023-05-23 10:06:04;quant_conv2d;1;2;1;27;0.5681;-0.3434999999999999;4.274753
217;0_2023-05-23 10:06:08;quant_conv2d;1;2;2;27;0.3874;-0.5242;6.5946054
218;0_2023-05-23 10:06:11;quant_conv2d;1;2;3;27;0.2915;-0.6201;8.039747
219;0_2023-05-23 10:06:15;quant_conv2d;1;2;4;27;0.2248;-0.6868;8.921492
220;0_2023-05-23 10:06:19;quant_conv2d;1;2;5;27;0.194;-0.7176;9.583904
221;0_2023-05-23 10:06:23;quant_conv2d;1;2;6;27;0.1668;-0.7447999999999999;9.994771
222;0_2023-05-23 10:06:27;quant_conv2d;1;2;7;27;0.1506;-0.7609999999999999;10.301837
223;0_2023-05-23 10:06:31;quant_conv2d;1;2;8;27;0.144;-0.7676;10.509419
224;0_2023-05-23 10:06:35;quant_conv2d;1;2;1;28;0.5773;-0.33429999999999993;4.1788
225;0_2023-05-23 10:06:38;quant_conv2d;1;2;2;28;0.3876;-0.524;6.585426
226;0_2023-05-23 10:06:42;quant_conv2d;1;2;3;28;0.2838;-0.6277999999999999;8.037449
